PDB ID,Resolution,Method,Chains,Structure Length,R-free,R-work,R-observed,Publication Year,Ramachandran Outliers (%),Clashscore,RSRZ Outliers (%),Sidechain Outliers (%)
4I20,3.34 A,X-ray,A,695-1022,0.242,0.2,0.202,2013.0,,,,
4I21,3.37 A,X-ray,A/B,695-1022,0.279,0.23,0.233,2013.0,,,,
4I22,1.71 A,X-ray,A,695-1022,0.224,0.197,0.198,2013.0,,,,
4I23,2.80 A,X-ray,A,695-1022,0.279,0.226,0.229,2013.0,,,,
4I24,1.80 A,X-ray,A/B,695-1022,0.239,0.209,0.21,2013.0,,,,
4JQ7,2.73 A,X-ray,A,696-1021,0.23714,0.2068,0.20835,2013.0,,,,
4JQ8,2.83 A,X-ray,A,696-1021,0.23233,0.18348,0.18591,2013.0,,,,
4JR3,2.70 A,X-ray,A,696-1021,0.24806,0.2133,0.21495,2013.0,,,,
4JRV,2.80 A,X-ray,A,696-1021,0.22679,0.19255,0.19422,2013.0,,,,
4KRL,2.85 A,X-ray,A,335-538,0.2677,0.2127,0.2152,2013.0,,,,
4KRM,2.66 A,X-ray,A/C/E/G/I/K,335-538,0.2443,0.208,0.2099,2013.0,,,,
4KRO,3.05 A,X-ray,A,25-642,0.2795,0.2205,0.2235,2013.0,,,,
4KRP,2.82 A,X-ray,A,25-642,0.2627,0.2151,0.2175,2013.0,,,,
4LI5,2.64 A,X-ray,A,696-1020,0.20299,0.16465,0.16599,2013.0,,,,
4LL0,4.00 A,X-ray,A/B,694-1022,0.257,0.238,0.238,2013.0,,,,
4LQM,2.50 A,X-ray,A,694-1022,0.22797,0.1845,0.18672,2013.0,,,,
4LRM,3.53 A,X-ray,A/B/C/D/E,694-1022,0.2638,0.2249,0.2269,2013.0,,,,
4R3P,2.90 A,X-ray,A,696-1018,0.2398,0.2078,0.211,2015.0,,,,
4R3R,3.25 A,X-ray,A,696-1018,0.2468,0.1958,0.2009,2015.0,,,,
4R5S,3.00 A,X-ray,A,696-1022,0.239,0.2017,0.2035,2014.0,,,,
4RIW,3.10 A,X-ray,B/D,682-1022,0.287,0.2267,0.2327,2014.0,,,,
4RIX,3.10 A,X-ray,B/D,682-1022,0.258,0.207,0.2096,2014.0,,,,
4RIY,2.98 A,X-ray,B/D,682-1022,0.267,0.2161,0.2212,2014.0,,,,
4RJ4,2.78 A,X-ray,A,695-1022,0.2255,0.1882,0.1898,2014.0,,,,
4RJ5,3.10 A,X-ray,A,695-1022,0.2287,0.1937,0.1952,2014.0,,,,
4RJ6,2.70 A,X-ray,A,695-1022,0.2451,0.2069,0.2086,2014.0,,,,
4RJ7,2.55 A,X-ray,A,695-1022,0.2335,0.2059,0.207,2014.0,,,,
4RJ8,2.50 A,X-ray,A,695-1022,0.2258,0.1956,0.1969,2014.0,,,,
4TKS,3.20 A,X-ray,A,695-1022,0.2092,0.188,0.189,2014.0,,,,
4UIP,2.95 A,X-ray,A,26-637,0.2971,0.23674,0.23973,2015.0,,,,
4UV7,2.10 A,X-ray,A,25-645,0.24759,0.20199,0.20429,2016.0,,,,
4WD5,3.30 A,X-ray,A/B,694-1022,0.2392,0.2096,0.211,,,,,
4WKQ,1.85 A,X-ray,A,696-1022,0.22457,0.19424,0.19572,,,,,
4WRG,1.90 A,X-ray,A,696-1022,0.21179,0.1974,0.19809,,,,,
4ZAU,2.80 A,X-ray,A,696-1022,0.24411,0.19344,0.19604,2015.0,,,,
4ZJV,2.70 A,X-ray,A/B,695-1022,0.23197,0.17854,0.18125,2015.0,,,,
4ZSE,1.97 A,X-ray,A/B/C/D,695-1022,0.2126,0.1902,0.1913,,,,,
5C8K,3.00 A,X-ray,A,695-1022,0.251,0.2002,0.2024,2015.0,,,,
5C8M,2.90 A,X-ray,A,695-1022,0.252,0.2087,0.2105,2015.0,,,,
5C8N,2.40 A,X-ray,A,695-1022,0.25822,0.20209,0.20445,2015.0,,,,
5CAL,2.70 A,X-ray,A,695-1022,0.2274,0.2047,0.2056,2015.0,,,,
5CAN,2.80 A,X-ray,A,695-1022,0.2317,0.1961,0.1976,2015.0,,,,
5CAO,2.60 A,X-ray,A,695-1022,0.2305,0.2021,0.2032,2015.0,,,,
5CAP,2.40 A,X-ray,A,695-1022,0.2131,0.1905,0.1914,2015.0,,,,
5CAQ,2.50 A,X-ray,A,695-1022,0.2244,0.1831,0.1848,2015.0,,,,
5CAS,2.10 A,X-ray,A,695-1022,0.2091,0.1825,0.1836,2015.0,,,,
5CAU,2.25 A,X-ray,A,695-1022,0.211,0.1864,0.1875,2015.0,,,,
5CAV,2.73 A,X-ray,A,695-1022,0.2313,0.197,0.1984,2015.0,,,,
5CNN,1.90 A,X-ray,A/B,696-1042,0.2114,0.182,0.1835,2015.0,,,,
5CNO,1.55 A,X-ray,A/B/X,696-1022,0.2029,0.1749,0.1763,2015.0,,,,
5CZH,2.80 A,X-ray,A,694-1022,0.22,0.192,0.193,2015.0,,,,
5CZI,2.60 A,X-ray,A,694-1022,0.225,0.183,0.185,2015.0,,,,
5D41,2.31 A,X-ray,A/B,695-1022,0.207,0.1738,0.1755,2016.0,,,,
5EDP,2.90 A,X-ray,A,695-1022,0.2441,0.1998,0.2016,2016.0,,,,
5EDQ,2.80 A,X-ray,A,695-1022,0.2415,0.2076,0.209,2016.0,,,,
5EDR,2.60 A,X-ray,A,695-1022,0.2151,0.1906,0.1916,2016.0,,,,
5EM5,2.65 A,X-ray,A,695-1022,0.2229,0.2123,0.2127,2016.0,,,,
5EM6,2.78 A,X-ray,A,695-1022,0.229,0.1947,0.1962,2016.0,,,,
5EM7,2.81 A,X-ray,A,695-1022,0.2159,0.1888,0.19,2016.0,,,,
5EM8,2.80 A,X-ray,A,695-1022,0.229,0.1894,0.191,2016.0,,,,
5FED,2.65 A,X-ray,A,696-1022,0.2175,0.1849,0.1865,2016.0,,,,
5FEE,2.70 A,X-ray,A,696-1022,0.2293,0.1881,0.1923,2016.0,,,,
5FEQ,3.40 A,X-ray,A,696-1022,0.2224,0.1644,0.1701,2016.0,,,,
5GMP,2.80 A,X-ray,A,696-1022,0.2408,0.2121,0.2134,2017.0,,,,
5GNK,1.80 A,X-ray,A,696-988,0.1766,0.1652,0.1658,2017.0,,,,
5GTY,3.14 A,X-ray,A/B/C/D/E/F/G/H,696-1022,0.2795,0.2566,0.2578,2017.0,,,,
5GTZ,3.00 A,X-ray,A,696-1022,0.2302,0.1887,0.1908,,,,,
5HCX,2.60 A,X-ray,A,696-1022,0.2229,0.1922,0.1935,2016.0,,,,
5HCY,2.46 A,X-ray,A,696-1022,0.2207,0.1757,0.1776,2016.0,,,,
5HCZ,2.62 A,X-ray,A,696-1022,0.2269,0.1941,0.1955,2016.0,,,,
5HG5,1.52 A,X-ray,A,695-1022,0.224,0.205,0.206,2016.0,,,,
5HG7,1.85 A,X-ray,A,695-1022,0.246,0.215,0.216,2016.0,,,,
5HG8,1.42 A,X-ray,A,695-1022,0.213,0.208,0.208,2016.0,,,,
5HG9,2.15 A,X-ray,A,695-1022,0.241,0.188,0.191,2016.0,,,,
5HIB,2.85 A,X-ray,A,695-1022,0.2388,0.1949,0.1968,2016.0,,,,
5HIC,2.60 A,X-ray,A,695-1022,0.2325,0.1894,0.1912,2016.0,,,,
5J9Y,2.80 A,X-ray,A,697-1019,0.2375,0.1826,0.1854,2016.0,,,,
5J9Z,2.50 A,X-ray,A,696-1020,0.2391,0.1961,0.1982,2016.0,,,,
5JEB,3.30 A,X-ray,A,696-1022,0.2703,0.2423,0.2437,2016.0,,,,
5LV6,-,NMR,A/B,634-677,,,,2017.0,,,,
5SX4,2.80 A,X-ray,M/N,335-525,0.2661,0.2233,0.2255,2016.0,,,,
5SX5,2.50 A,X-ray,M/N,335-525,0.2498,0.2257,0.2269,2016.0,,,,
5U8L,1.60 A,X-ray,A,695-1022,0.202,0.189,0.19,2017.0,,,,
5UG8,1.46 A,X-ray,A,695-1022,0.207,0.192,0.193,2017.0,,,,
5UG9,1.33 A,X-ray,A,695-1022,0.205,0.194,0.195,2017.0,,,,
5UGA,1.82 A,X-ray,A,695-1022,0.264,0.233,0.235,2017.0,,,,
5UGB,2.53 A,X-ray,A,695-1022,0.251,0.215,0.216,2017.0,,,,
5UGC,1.58 A,X-ray,A,695-1022,0.223,0.199,0.201,2017.0,,,,
5UWD,3.06 A,X-ray,A,695-1022,0.28,0.213,0.216,2017.0,,,,
5WB7,2.94 A,X-ray,A/B/C/D,25-525,0.2675,0.2246,0.2267,2017.0,,,,
5WB8,3.00 A,X-ray,A/D,25-525,0.3116,0.2653,0.2683,2017.0,,,,
5X26,2.95 A,X-ray,A,696-1022,0.2215,0.1956,0.1969,2018.0,,,,
5X27,2.95 A,X-ray,A,696-1022,0.2384,0.2034,0.205,2018.0,,,,
5X28,2.95 A,X-ray,A,696-1022,0.2504,0.2094,0.2112,2018.0,,,,
5X2A,1.85 A,X-ray,A/B/C/D,696-1022,0.2194,0.1735,0.1758,2018.0,,,,
5X2C,2.05 A,X-ray,A/B,696-1022,0.2018,0.1747,0.1753,2018.0,,,,
5X2F,2.20 A,X-ray,A/B/C/D,696-1022,0.2398,0.2025,0.2044,2018.0,,,,
5X2K,3.20 A,X-ray,A,696-1022,0.2443,0.2256,0.2265,2018.0,,,,
5XDK,2.35 A,X-ray,A,696-1022,0.2482,0.2171,0.2186,2017.0,,,,
5XDL,2.70 A,X-ray,A,696-1022,0.2558,0.2093,0.2116,2017.0,,,,
5XGM,2.95 A,X-ray,A,696-1022,0.2318,0.2026,0.204,2017.0,,,,
5XGN,3.00 A,X-ray,A/B,696-1022,0.2509,0.2206,0.2221,2017.0,,,,
5XWD,2.89 A,X-ray,A,1-643,0.3309,0.2768,0.2795,2018.0,,,,
5Y25,3.10 A,X-ray,A,698-1022,0.246,0.2134,0.2167,2019.0,,,,
5Y9T,3.25 A,X-ray,A,695-1022,0.24021,0.1952,0.19728,2018.0,,,,
5YU9,1.95 A,X-ray,A/B/C/D,696-1022,0.2215,0.2019,0.2029,2016.0,,,,
5ZTO,2.65 A,X-ray,A,696-1022,0.2724,0.2314,0.2335,,,,,
5ZWJ,2.90 A,X-ray,A,675-1022,0.2718,0.2551,0.2559,2018.0,,,,
6ARU,3.20 A,X-ray,A,25-640,0.2671,0.2323,0.234,,,,,
6B3S,2.80 A,X-ray,A/B/E/I,335-538,0.245,0.208,0.209,2018.0,,,,
6D8E,2.54 A,X-ray,A,696-1022,0.2426,0.2087,0.2122,2018.0,,,,
6DUK,2.20 A,X-ray,A/B/C/D/E/F,695-1022,0.2232,0.19,0.1906,2019.0,,,,
6JRJ,2.94 A,X-ray,A,696-1022,0.2465,0.2029,0.2073,2019.0,,,,
6JRK,2.80 A,X-ray,A,696-1022,0.2356,0.1959,0.1999,2019.0,,,,
6JRX,2.20 A,X-ray,A,696-1022,0.2392,0.2094,0.211,2020.0,,,,
6JWL,2.55 A,X-ray,A,696-1022,0.2416,0.2067,0.2085,2020.0,,,,
6JX0,2.53 A,X-ray,A,696-1022,0.2217,0.1915,0.1931,2020.0,,,,
6JX4,2.53 A,X-ray,A,696-1022,0.2454,0.2107,0.2126,2020.0,,,,
6JXT,2.31 A,X-ray,A,696-1022,0.2393,0.2165,0.2176,2020.0,,,,
6JZ0,2.86 A,X-ray,A,696-1021,0.2476,0.1905,0.1932,2019.0,,,,
6LUB,2.31 A,X-ray,A,695-1022,0.2255,0.1856,0.1874,2020.0,,,,
6LUD,2.05 A,X-ray,A,695-1022,0.2215,0.2065,0.2073,2020.0,,,,
6P1D,2.40 A,X-ray,A/B/C/D,696-1022,0.2134,0.1945,0.1954,2019.0,,,,
6P1L,2.80 A,X-ray,A/B/C/D,696-1022,0.2366,0.201,0.2027,2019.0,,,,
6P8Q,1.90 A,X-ray,A/B/C/D,696-1022,0.1946,0.1681,0.1694,2019.0,,,,
6S89,2.70 A,X-ray,A,695-1022,0.2337,0.1882,0.1906,2019.0,,,,
6S8A,2.60 A,X-ray,A,695-1022,0.2074,0.1855,0.1866,2019.0,,,,
6S9B,3.25 A,X-ray,A,697-1022,0.2318,0.1834,0.1862,2019.0,,,,
6S9C,2.73 A,X-ray,A,696-1022,0.2248,0.2002,0.2015,2019.0,,,,
6S9D,2.67 A,X-ray,A,696-1022,0.2237,0.1936,0.1952,2019.0,,,,
6TFU,2.00 A,X-ray,A/B,695-1022,0.233,0.2017,0.2033,2020.0,,,,
6TFV,1.50 A,X-ray,A/B,695-1022,0.2028,0.1827,0.1837,2020.0,,,,
6TFW,2.00 A,X-ray,A/B,695-1022,0.2447,0.2229,0.224,2020.0,,,,
6TFY,1.70 A,X-ray,A/B,695-1022,0.2119,0.1923,0.1933,2020.0,,,,
6TFZ,1.80 A,X-ray,A/B,695-1022,0.2065,0.1741,0.1757,2020.0,,,,
6TG0,1.50 A,X-ray,A/B,695-1022,0.1875,0.1737,0.1744,2020.0,,,,
6TG1,1.60 A,X-ray,A/B,695-1022,0.1976,0.1815,0.1824,2020.0,,,,
6V5N,2.40 A,X-ray,A/B/C/D,695-1022,0.2435,0.1915,0.194,2020.0,,,,
6V5P,2.30 A,X-ray,A/B/C/D,695-1022,0.1937,0.1791,0.1798,2020.0,,,,
6V66,1.79 A,X-ray,A/B/C/D,696-1022,0.2261,0.1853,0.1873,2020.0,,,,
6V6K,2.20 A,X-ray,A/B/C/D/E/F/G/H,696-1022,0.2394,0.2139,0.2152,2020.0,,,,
6V6O,2.10 A,X-ray,A/B/C/D/E/F/G/H,696-1022,0.2206,0.195,0.1963,2020.0,,,,
6VH4,2.80 A,X-ray,A,696-1022,0.23,0.1952,0.1969,2020.0,,,,
6VHN,2.40 A,X-ray,A,696-1022,0.2003,0.1988,0.1989,2020.0,,,,
6VHP,3.60 A,X-ray,A,696-1022,0.2176,0.182,0.1839,2020.0,,,,
6WA2,2.40 A,X-ray,A/B/C/D,695-1022,0.2579,0.2205,0.2224,2022.0,,,,
6WAK,2.40 A,X-ray,A/B/C/D,695-1022,0.2295,0.2184,0.219,2022.0,,,,
6WXN,1.76 A,X-ray,A/B/C/D,695-1022,0.2355,0.208,0.2093,2022.0,,,,
6XL4,2.06 A,X-ray,A/B/C/D,695-1022,0.252,0.2145,0.2163,2022.0,,,,
6Z4B,2.50 A,X-ray,A/B,695-1022,0.2513,0.2207,0.2222,2020.0,,,,
6Z4D,2.00 A,X-ray,A/B,695-1022,0.2214,0.1931,0.1945,2020.0,,,,
7A2A,1.90 A,X-ray,A/B,695-1022,0.2171,0.1943,0.1954,2020.0,,,,
7A6I,2.40 A,X-ray,A,695-1022,0.2391,0.2022,0.2041,2022.0,,,,
7A6J,2.00 A,X-ray,A/B,695-1022,0.2159,0.1902,0.1915,2022.0,,,,
7A6K,2.00 A,X-ray,A/B/C/D,695-1022,0.2202,0.1919,0.1933,2022.0,,,,
7AEI,2.65 A,X-ray,A,695-1022,0.234,0.194,0.196,2019.0,,,,
7AEM,2.65 A,X-ray,A,695-1022,0.221,0.198,0.199,2019.0,,,,
7B85,2.50 A,X-ray,A,695-1022,0.244,0.2147,0.2161,2022.0,,,,
7ER2,2.66 A,X-ray,A,696-1022,0.2417,0.1949,0.1995,2022.0,,,,
7JXI,3.00 A,X-ray,A/B/C/D,695-1022,0.3121,0.2764,0.2782,2022.0,,,,
7JXK,3.10 A,X-ray,A/B/C/D/E/F,695-1022,0.2609,0.2215,0.2234,2022.0,,,,
7JXL,2.40 A,X-ray,A/B/C/D,695-1022,0.2393,0.2089,0.2104,2022.0,,,,
7JXM,2.19 A,X-ray,A/B/C/D,695-1022,0.2705,0.2266,0.228,2022.0,,,,
7JXP,2.16 A,X-ray,A/B/C/D/E/F,695-1022,0.2473,0.2122,0.2139,2022.0,,,,
7JXQ,1.83 A,X-ray,A/B/C/D,695-1022,0.218,0.184,0.1846,2022.0,,,,
7JXW,2.50 A,X-ray,A/B/C/D,695-1022,0.3185,0.2738,0.276,2022.0,,,,
7K1H,2.60 A,X-ray,A/B/C/D/E/F,695-1022,0.2752,0.231,0.2327,2022.0,,,,
7K1I,3.20 A,X-ray,A,695-1022,0.3106,0.2633,0.2656,2022.0,,,,
7KXZ,2.40 A,X-ray,A,695-1022,0.2188,0.1901,0.1914,,,,,
7KY0,3.10 A,X-ray,A/B/C/D,695-1022,0.2925,0.2376,0.2404,,,,,
7LEN,2.90 A,X-ray,A/B,25-525,0.2946,0.2368,0.2396,2022.0,,,,
7LFR,3.20 A,X-ray,A/B,25-525,0.3026,0.2498,0.2523,2022.0,,,,
7LFS,3.50 A,X-ray,A/B/C/D,25-525,0.3148,0.2663,0.2688,2022.0,,,,
7LG8,2.93 A,X-ray,A/B/C/D,695-1022,0.2696,0.2354,0.2371,2022.0,,,,
7LGS,3.10 A,X-ray,A/B/C/D,696-1022,0.3053,0.2377,0.241,2021.0,,,,
7LTX,2.30 A,X-ray,A/B/C/D,695-1022,0.216,0.1859,0.1874,2022.0,,,,
7OM4,6.05 A,X-ray,A,25-645,0.3268,0.2959,0.2968,2022.0,,,,
7OXB,2.56 A,X-ray,A,696-1020,0.2274,0.1988,0.2003,2021.0,,,,
7SI1,1.60 A,X-ray,A,695-1022,0.2146,0.1923,0.193,,,,,
7SYD,3.10 A,EM,A/B,1-1210,,,,2021.0,,,,
7SYE,3.30 A,EM,A/B,1-1210,,,,2021.0,,,,
7SZ0,3.30 A,EM,A/B,1-1210,,,,2021.0,,,,
7SZ1,3.40 A,EM,A/B,1-1210,,,,2021.0,,,,
7SZ5,3.60 A,EM,A/B,1-1210,,,,2021.0,,,,
7SZ7,3.40 A,EM,A/B,1-1210,,,,2021.0,,,,
7TVD,2.96 A,X-ray,A,696-1022,0.2774,0.2403,0.2422,2022.0,,,,
7VRA,2.41 A,X-ray,A,696-1022,0.2452,0.2197,0.2211,2022.0,,,,
7VRE,2.51 A,X-ray,A,696-1022,0.2421,0.1991,0.2034,2022.0,,,,
8A27,1.07 A,X-ray,A,700-1022,0.1599,0.1244,0.1262,2022.0,,,,
8A2A,1.43 A,X-ray,A,700-1022,0.2233,0.188,0.1897,2022.0,,,,
8A2B,1.69 A,X-ray,A,700-1022,0.2576,0.2098,0.2123,2022.0,,,,
8A2D,1.11 A,X-ray,A,700-1022,0.1788,0.1632,0.164,2022.0,,,,
8D73,2.17 A,X-ray,A/B,695-1022,0.2853,0.1914,0.1957,2022.0,,,,
8D76,2.40 A,X-ray,A/B,695-1022,0.26,0.156,0.1613,2022.0,,,,
